symbol,security,gics_sector,gics_industry,country,region,report_url,report year,annual carbon emissions (tonnes co₂),annual water consumption (cubic meters),renewable energy usage (mwh),sustainable materials usage ratio (percent),waste recycling rate (percent)
LAND.L,Land Securities,Real Estate,Real Estate Investment Trusts,GB,Europe,https://landsec.com/sites/default/files/2017-06/SR_2015_Landsec_Sustainability_Report.pdf,2015,70665.0,649339.0,194.0,,61.0
LLOY.L,Lloyds Banking Group,Financials,Diversified Banks,GB,Europe,https://carbonaccountingfinancials.com/files/institutions_downloads/2023-lbg-sustainability-report.pdf,2023,,,50000.0,,72.0
LLOY.L,Lloyds Banking Group,Financials,Diversified Banks,GB,Europe,https://www.lloydsbankinggroup.com/assets/pdfs/investors/financial-performance/lloyds-banking-group-plc/2022/full-year/2022-lbg-environmental-sustainability-report.pdf,2022,0.1,,100.0,,72.0
LSEG.L,London Stock Exchange Group,Financials,Financial Exchanges & Data,GB,Europe,https://www.lseg.com/content/dam/lseg/en_us/documents/sustainability/lseg-sustainability-report-2019.pdf,2019,,103970.0,100.0,,
LSEG.L,London Stock Exchange Group,Financials,Financial Exchanges & Data,GB,Europe,https://www.lseg.com/content/dam/lseg/en_us/documents/sustainability/lseg-sustainability-report-2017.pdf,2017,,97624.0,64.0,,22.3
LSEG.L,London Stock Exchange Group,Financials,Financial Exchanges & Data,GB,Europe,https://www.lseg.com/content/dam/lseg/en_us/documents/sustainability/lseg-sustainability-report-2021.pdf,2021,,,,,
MKS.L,Marks & Spencer,Consumer Staples,Food & Drug Retailing,GB,Europe,https://corporate.marksandspencer.com/sites/marksandspencer/files/2024-06/ESG_Report_2024.pdf,2024,,,,,
MNDI.L,Mondi,Materials,Metal & Glass Containers,GB,Europe,https://www.mondigroup.com/globalassets/mondigroup.com/sustainability/reports-and-publications/2020-and-before-sd/mondi-sustainable-development-report-2019.pdf,2019,3724295.0,247100000.0,,,
MNDI.L,Mondi,Materials,Metal & Glass Containers,GB,Europe,https://www.mondigroup.com/globalassets/mondigroup.com/sustainability/reports-and-publications/2021/mondi-sustainable-development-report-2021.pdf,2021,3600000.0,,65.0,,73.0
MNDI.L,Mondi,Materials,Metal & Glass Containers,GB,Europe,https://www.mondigroup.com/globalassets/mondigroup.com/sustainability/reports-and-publications/2022/mondi-sustainable-development-report-2022-v2.pdf,2022,2200000.0,219000000.0,60.0,,
MNDI.L,Mondi,Materials,Metal & Glass Containers,GB,Europe,https://www.mondigroup.com/globalassets/mondigroup.com/investors/results-reports-and-presentations/2018/integrated-report-and-financial-statements-2018/mondi_ir_2018_final.pdf,2018,,303000000.0,,,
PSON.L,Pearson plc,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/LSE_PSON_2019.pdf,2019,80421.0,453589.0,90192.0,,
PSON.L,Pearson plc,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/LSE_PSON_2016.pdf,2016,126385.0,,100.0,,
PSON.L,Pearson plc,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/LSE_PSON_2015.pdf,2015,146493.0,1014268.0,162916.0,,
PSON.L,Pearson plc,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/LSE_PSON_2017.pdf,2017,104384.0,,,,
PHNX.L,Phoenix Group,Financials,Life & Health Insurance,GB,Europe,https://www.thephoenixgroup.com/media/1mumolqw/sustainability-report-2023.pdf,2023,83.0,,,,
PHNX.L,Phoenix Group,Financials,Life & Health Insurance,GB,Europe,https://www.thephoenixgroup.com/media/schipygh/sustainability-report-2022.pdf,2022,24000000.0,,,,
PRU.L,Prudential plc,Financials,Life & Health Insurance,GB,Europe,https://www.prudentialplc.com/~/media/Files/P/Prudential-V13/reports/2023/sustainability-report-2023.pdf,2023,,,,,
PRU.L,Prudential plc,Financials,Life & Health Insurance,GB,Europe,https://www.prudentialplc.com/~/media/Files/P/Prudential-V13/reports/2021/esg-report-2021.pdf,2021,,123025.82,,,
PRU.L,Prudential plc,Financials,Life & Health Insurance,GB,Europe,https://www.prudentialplc.com/~/media/Files/P/Prudential-V13/reports/2019/esg-report-2019.pdf,2019,,229268.0,,,63.0
PRU.L,Prudential plc,Financials,Life & Health Insurance,GB,Europe,https://www.prudentialplc.com/~/media/Files/P/Prudential-V13/reports/2020/esg-report-2020.pdf,2020,,170648.0,,,62.0
RKT.L,Reckitt,Consumer Discretionary,Homebuilding,GB,Europe,https://www.reckitt.com/media/da4hdggo/reckitt_sustainability-report_2023.pdf,2023,,,,,94.0
RKT.L,Reckitt,Consumer Discretionary,Homebuilding,GB,Europe,https://www.reckitt.com/media/3353/rb-sustainability-report-2017.pdf,2017,227766.0,,,,100.0
RKT.L,Reckitt,Consumer Discretionary,Homebuilding,GB,Europe,https://www.reckitt.com/media/mojal0zt/sustainability-insights-2022.pdf,2022,358746.0,,93.0,,
RKT.L,Reckitt,Consumer Discretionary,Homebuilding,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/LSE_RB_2020.pdf,2020,32400000.0,,33.0,,96.0
REL.L,RELX,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RELX_2019.pdf,2019,,,,,61.0
REL.L,RELX,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RELX_2016.pdf,2016,,337889.0,,,76.0
REL.L,RELX,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RELX_2015.pdf,2015,,,50.0,,
REL.L,RELX,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RELX_2014.pdf,2014,,,46.0,,
REL.L,RELX,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RELX_2022.pdf,2022,,156734.0,,,99.0
REL.L,RELX,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RELX_2017.pdf,2017,,344918.0,,,76.0
REL.L,RELX,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RELX_2021.pdf,2021,,,,,
RTO.L,Rentokil Initial,Industrials,Support Services,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/LSE_RTO_2018.pdf,2018,363399.0,9.7,,,26.0
RIO.L,Rio Tinto,Materials,Mining,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/LSE_RIOA_2013.pdf,2013,32000.0,,,,
SGE.L,Sage Group,Information Technology,Software & Computer Services,GB,Europe,https://www.sage.com/en-gb/-/media/files/investors/documents/pdf/downloads/sage-sustainability-report-2021.pdf,2021,,19.0,35.0,,
SGE.L,Sage Group,Information Technology,Software & Computer Services,GB,Europe,https://www.sage.com/en-gb/-/media/files/company/documents/pdf/sustainability-and-society/sustainability-and-society-report-gri-2022.pdf,2022,,,,,
SGE.L,Sage Group,Information Technology,Software & Computer Services,GB,Europe,https://www.sage.com/en-gb/-/media/files/investors/documents/pdf/downloads/sage-sustainability-report-gri-2023.pdf,2023,193951.4,,,,
SDR.L,Schroders,Financials,Financial Services,GB,Europe,https://www.ilr.cornell.edu/sites/default/files-d8/2023-09/Higher%20Ground%20Report%202%20FINAL.pdf,2023,,,,,
SGRO.L,Segro,Real Estate,Real Estate Investment Trusts,GB,Europe,https://www.segro.com/media/lpkbrx5z/sg100087_responsible-segro-report_2024_interactive.pdf,2024,,,1140775.0,,
