id,symbol,security,report_url,report_year,minio_path
1058,D           ,Dominion Energy,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/NYSE_D_2020.pdf,2020.0,Dominion Energy/Dominion Energy_2020.pdf
1112,ETFC        ,E*Trade,https://www.morganstanley.com/pub/content/dam/msdotcom/sustainability/Morgan-Stanley_2020-Sustainability-Report_Final.pdf,2020.0,
1113,ETFC        ,E*Trade,https://corporate.lowes.com/sites/lowes-corp/files/2023-04/Lowes_2021_CSR_06.03.22_Final.pdf,2021.0,
1114,ETFC        ,E*Trade,https://corporate.visa.com/content/dam/VCOM/regional/na/us/about-visa/documents/2023-corporate-responsibility-sustainability-report.pdf,2023.0,
1115,ETFC        ,E*Trade,https://www.chevron.com/-/media/shared-media/documents/2015-corporate-responsibility-report.pdf,2015.0,
1116,ETFC        ,E*Trade,https://www.calpers.ca.gov/sites/default/files/spf/docs/forms-publications/esg-report-2014.pdf,2014.0,
1117,ETFC        ,E*Trade,https://csrreportbuilder.intel.com/PDFfiles/archived_reports/Intel-2016-CSR-Report.pdf,2016.0,
1118,ETFC        ,E*Trade,https://corporate.visa.com/content/dam/VCOM/download/corporate-responsibility/visa-2017-corporate-responsibility-report.pdf,2017.0,
1119,ETFC        ,E*Trade,https://www.baxter.com/sites/g/files/ebysai746/files/2020-06/Baxter%202019%20Corporate%20Responsibility%20Report%20_1.pdf,2020.0,
1120,ETFC        ,E*Trade,https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2022-23-Full-Report.pdf,2022.0,
1121,ETFC        ,E*Trade,https://group.dhl.com/content/dam/deutschepostdhl/en/media-center/responsibility/dpdhl-corporate-responsibility-report-2013-complete.pdf,2013.0,
1122,ETFC        ,E*Trade,https://csrreportbuilder.intel.com/PDFfiles/archived_reports/Intel-2018-CSR-Report.pdf,2018.0,
1126,EMN         ,Eastman Chemical,https://www.eastman.com/Lists/SRB%20Section%20PDFs/Goals_and_Progress.pdf,,
1096,DRE         ,Duke Realty Corp,https://prologis.getbynder.com/m/341c024f0b023afa/original/Prologis-2022-23-ESG-Report.pdf,2022.0,Duke Realty Corp/Duke Realty Corp_2022.pdf
1099,DRE         ,Duke Realty Corp,https://www.are.com/cr/AREESG2020.pdf,2020.0,Duke Realty Corp/Duke Realty Corp_2020.pdf
1097,DRE         ,Duke Realty Corp,https://sustainability.duke.edu/sites/default/files/SustainableInvestment2016.pdf,2016.0,Duke Realty Corp/Duke Realty Corp_2016.pdf
1100,DUK         ,Duke Energy,https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2017.pdf,2017.0,Duke Energy/Duke Energy_2017.pdf
1103,DUK         ,Duke Energy,https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2018.pdf,2018.0,Duke Energy/Duke Energy_2018.pdf
1104,DUK         ,Duke Energy,https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2016.pdf,2016.0,Duke Energy/Duke Energy_2016.pdf
1102,DUK         ,Duke Energy,https://www.cisco.com/c/dam/m/en_us/about/csr/esg-hub/_pdf/purpose-report-2021.pdf,2021.0,Duke Energy/Duke Energy_2021.pdf
1105,DUK         ,Duke Energy,https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2019.pdf,2019.0,Duke Energy/Duke Energy_2019.pdf
1111,DXC         ,DXC Technology,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/NYSE_DXC_2021.pdf,2021.0,DXC Technology/DXC Technology_2021.pdf
1106,DUK         ,Duke Energy,https://s201.q4cdn.com/583395453/files/doc_downloads/2024/05/impact-report-2023-final.pdf,2024.0,Duke Energy/Duke Energy_2024.pdf
1124,EMN         ,Eastman Chemical,https://www.eastman.com/content/dam/eastman/corporate/en/media-center/resources/eastman-sustainability-report-2023.pdf,2023.0,Eastman Chemical/Eastman Chemical_2023.pdf
1110,DXC         ,DXC Technology,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/NYSE_DXC_2019.pdf,2019.0,DXC Technology/DXC Technology_2019.pdf
1125,EMN         ,Eastman Chemical,https://www.eastman.com/content/dam/eastman/corporate/en/media-center/resources/eastman-sustainability-report-2014.pdf,2014.0,Eastman Chemical/Eastman Chemical_2014.pdf
1108,DXC         ,DXC Technology,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/NYSE_DXC_2018.pdf,2018.0,DXC Technology/DXC Technology_2018.pdf
1127,EMN         ,Eastman Chemical,https://www.eastman.com/content/dam/eastman/corporate/en/media-center/resources/eastman-sustainability-report-2022.pdf,2022.0,Eastman Chemical/Eastman Chemical_2022.pdf
1130,ETN         ,Eaton Corporation,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/e/NYSE_ETN_2018.pdf,2018.0,Eaton Corporation/Eaton Corporation_2018.pdf
1133,ETN         ,Eaton Corporation,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/e/NYSE_ETN_2020.pdf,2020.0,Eaton Corporation/Eaton Corporation_2020.pdf
1132,ETN         ,Eaton Corporation,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/e/NYSE_ETN_2021.pdf,2021.0,Eaton Corporation/Eaton Corporation_2021.pdf
1131,ETN         ,Eaton Corporation,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/e/NYSE_ETN_2022.pdf,2022.0,Eaton Corporation/Eaton Corporation_2022.pdf
1129,ETN         ,Eaton Corporation,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/e/NYSE_ETN_2019.pdf,2019.0,Eaton Corporation/Eaton Corporation_2019.pdf
1135,EBAY        ,eBay Inc.,https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2018.pdf,2018.0,eBay Inc./eBay Inc._2018.pdf
