symbol,security,gics_sector,gics_industry,country,region,report_url,report_year
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,US,North America,https://corporate.goodyear.com/content/dam/goodyear-corp/documents/responsibility/corp-responsibility-reports/2020-corporate-responsibility-report.pdf.coredownload.pdf,2020.0
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,US,North America,http://media.corporate-ir.net/media_files/IROL/13/130560/Advance_Auto_Parts_SR_12_24_18.pdf,560.0
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,US,North America,https://www.stellantis.com/content/dam/stellantis-corporate/sustainability/csr-disclosure/stellantis/2021/Stellantis_2021_CSR_Report.pdf,2021.0
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,US,North America,https://corporate.visa.com/content/dam/VCOM/regional/na/us/about-visa/documents/2023-corporate-responsibility-sustainability-report.pdf,2023.0
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,US,North America,https://sustainability.aboutamazon.com/2022-sustainability-report.pdf,2022.0
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,US,North America,https://group.dhl.com/content/dam/deutschepostdhl/en/media-center/responsibility/dpdhl-corporate-responsibility-report-2013-complete.pdf,2013.0
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,US,North America,https://stock.walmart.com/_assets/_dcdf462278b22c3409a9ac211937e78c/walmart/db/951/9677/file/2014-global-responsibility-report.pdf,2278.0
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,US,North America,https://www.aespuertorico.com/sites/aespuertorico/files/2023-03/2015_aessustainabilityreport.pdf,2023.0
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,US,North America,https://www.aes.com/sites/default/files/2021-02/AES-2019-Sustainability-Report.pdf,2021.0
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,US,North America,https://www.aes.com/sites/aesvault.com/files/2024-10/2023-AES-Improving-Lives-Report.pdf,2024.0
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://www.mitsui.com/jp/en/sustainability/sustainabilityreport/2014/__icsFiles/afieldfile/2015/09/08/en_csr_detail_2014.pdf,2014.0
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://assets.kpmg.com/content/dam/kpmg/ar/pdf/2020/the-time-has-come-KPMG-survey-of-sustainability-reporting_2020.pdf,2020.0
